,users,users_received_1,campaign_type_1,opened_1,camp_volume_1,users_received_8,campaign_type_8,opened_8,camp_volume_8,users_received_16,campaign_type_16,opened_16,camp_volume_16,disc1_pre_3days,disc1_pre_6day,disc1_pre_14dat,disc2_pre_4days,disc2_pre_7day,disc2_pre_14day,disc3_pre_1day,disc4_pre_2day,disc5_pre_1day,disc5_pre_13day,products_pre_3days,products_pre_7day,products_pre_14day,new_users_pre_3days,new_users_pre_7day,new_users_pre_14day,volume_pre_3days,volume_pre_7day,volume_pre_14day,full_revenue_pre_3days,full_revenue_pre_7day,full_revenue_pre_14day,year,month
255,1.0,37.0,10.0,18.0,37.0,168.0,2.0,52.0,169.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,7.0,1.0,3.0,26300.0,2200.0,7600.0,2016,2
256,3.0,171.0,1.0,51.0,171.0,0.0,0.0,0.0,0.0,160.0,1.0,53.0,160.0,3.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,2.0,2.0,1.0,7.0,2.0,5.0,26600.0,12600.0,13500.0,2016,2
257,1.0,1.0,1.0,1.0,1.0,154.0,2.0,36.0,154.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,9.0,4.0,6.0,4.0,4.0,6.0,11.0,5.0,8.0,37450.0,18800.0,20500.0,2016,2
258,2.0,61.0,4.0,16.0,61.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,4.0,1.0,1.0,9.0,1.0,1.0,28950.0,2800.0,2000.0,2016,2
259,2.0,186.0,2.0,40.0,186.0,1.0,1.0,1.0,1.0,43.0,2.0,13.0,43.0,4.0,2.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,1.0,2.0,7.0,0.0,0.0,13.0,1.0,2.0,38550.0,3900.0,5550.0,2016,2
261,1.0,71.0,1.0,20.0,71.0,26.0,3.0,7.0,26.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,6.0,3.0,3.0,6.0,1.0,2.0,11.0,4.0,3.0,28700.0,13600.0,8200.0,2016,2
262,1.0,3.0,1.0,1.0,3.0,37.0,10.0,18.0,37.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,1.0,6.0,0.0,1.0,10.0,1.0,1.0,24700.0,4200.0,2200.0,2016,2
263,1.0,0.0,0.0,0.0,0.0,171.0,1.0,51.0,171.0,168.0,2.0,52.0,169.0,5.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,6.0,5.0,2.0,7.0,3.0,2.0,10.0,6.0,2.0,23000.0,19650.0,12600.0,2016,2
264,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,5.0,1.0,4.0,8.0,2.0,5.0,19900.0,5100.0,18800.0,2016,2
265,1.0,118.0,2.0,30.0,118.0,61.0,4.0,16.0,61.0,154.0,2.0,36.0,154.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,1.0,4.0,3.0,1.0,6.0,5.0,1.0,17700.0,13800.0,2800.0,2016,2
266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,1.0,4.0,0.0,0.0,6.0,2.0,1.0,18700.0,6500.0,3900.0,2016,2
